creator,priority_rank,video_count,engagement_rate,median_views,budget_tier,content_angle,storyboard_concept,outreach_draft,sample_caption
bundaddy,1,5,23.0%,"99,900","Tier 3 (smaller reach, high engagement, low-cost test partner)","longer-form format (their videos average over 25 seconds); original audio or voiceover, not trending sounds; their established niche around #fyp","A 32-second partnership video in bundaddy's established style: open on fyp-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 23.0% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi bundaddy,

I've been following your videos and love what you've been doing in the fyp space. Your engagement rate has been running around 23.0% across your last 5 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (longer-form format (their videos average over 25 seconds); original audio or voiceover, not trending sounds; their established niche around #fyp), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",women are not exempt from being controlling and toxic #fyp #foryou #foryoupage #RhymePOV #FootlongShuffle #GhostMode
xaaku,2,3,21.2%,"143,700","Tier 2 (strong reach + above-average engagement, good value)","short, fast-cut format (their videos average under 15 seconds); original audio or voiceover, not trending sounds; their established niche around #naruto","A 12-second partnership video in xaaku's established style: open on naruto-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 21.2% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi xaaku,

I've been following your videos and love what you've been doing in the naruto space. Your engagement rate has been running around 21.2% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (short, fast-cut format (their videos average under 15 seconds); original audio or voiceover, not trending sounds; their established niche around #naruto), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",Ответить пользователю @anwexte вот богиня темари) #naruto #temari #shikamaru #gaara #anime #animeedit #recommendations #fyp
erinwilliams_1,3,3,19.4%,"309,000","Tier 2 (strong reach + above-average engagement, good value)","short, fast-cut format (their videos average under 15 seconds); trending/popular audio; their established niche around #equestrian","A 12-second partnership video in erinwilliams_1's established style: open on equestrian-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 19.4% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi erinwilliams_1,

I've been following your videos and love what you've been doing in the equestrian space. Your engagement rate has been running around 19.4% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (short, fast-cut format (their videos average under 15 seconds); trending/popular audio; their established niche around #equestrian), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",How fast can you get your stirrup 👀 #equestrian #horsegirl #horseriding #horse #dressage #equine #stallion
chris_wells_,4,3,19.2%,"64,400","Tier 3 (smaller reach, high engagement, low-cost test partner)","longer-form format (their videos average over 25 seconds); original audio or voiceover, not trending sounds","A 27-second partnership video in chris_wells_'s established style: open on their usual content style-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 19.2% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi chris_wells_,

I've been following your videos and love your content. Your engagement rate has been running around 19.2% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (longer-form format (their videos average over 25 seconds); original audio or voiceover, not trending sounds), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",Reply to @jr6383638368373837
liamkratos,5,3,18.4%,"62,100","Tier 3 (smaller reach, high engagement, low-cost test partner)","short, fast-cut format (their videos average under 15 seconds); original audio or voiceover, not trending sounds; their established niche around #vibetiktok","A 8-second partnership video in liamkratos's established style: open on vibetiktok-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 18.4% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi liamkratos,

I've been following your videos and love what you've been doing in the vibetiktok space. Your engagement rate has been running around 18.4% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (short, fast-cut format (their videos average under 15 seconds); original audio or voiceover, not trending sounds; their established niche around #vibetiktok), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",Antwoorden aan @seereenmarabeh obviously I speak Dutch as well🌿 #vibetiktok #fy #fyp #foryou #likelike #tiktoktraditions #dutch
papaswolio,6,4,16.7%,"266,600","Tier 2 (strong reach + above-average engagement, good value)",mid-length format (their videos average 15-25 seconds); trending/popular audio; their established niche around #gotothegym,"A 22-second partnership video in papaswolio's established style: open on gotothegym-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 16.7% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi papaswolio,

I've been following your videos and love what you've been doing in the gotothegym space. Your engagement rate has been running around 16.7% across your last 4 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (mid-length format (their videos average 15-25 seconds); trending/popular audio; their established niche around #gotothegym), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",Reply to @frosty6892 Skål #gotothegym #viking #vikingtiktok #thor #mjolnir #fitfam #gymtime #workout
jadeanna_,7,3,14.7%,"598,200","Tier 1 (high reach, negotiate rate against 500K+ median views)","mid-length format (their videos average 15-25 seconds); original audio or voiceover, not trending sounds","A 24-second partnership video in jadeanna_'s established style: open on their usual content style-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 14.7% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi jadeanna_,

I've been following your videos and love your content. Your engagement rate has been running around 14.7% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (mid-length format (their videos average 15-25 seconds); original audio or voiceover, not trending sounds), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",I m s o r r y
maxzg7,8,3,14.5%,"188,400","Tier 4 (smaller reach, moderate engagement, low-risk trial)","mid-length format (their videos average 15-25 seconds); original audio or voiceover, not trending sounds; their established niche around #fight","A 24-second partnership video in maxzg7's established style: open on fight-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 14.5% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi maxzg7,

I've been following your videos and love what you've been doing in the fight space. Your engagement rate has been running around 14.5% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (mid-length format (their videos average 15-25 seconds); original audio or voiceover, not trending sounds; their established niche around #fight), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",#fight#anime#animeedit#animefight#vs#berry#viral#pibes#parati#fyp
manoulucia,9,3,13.6%,"67,000","Tier 4 (smaller reach, moderate engagement, low-risk trial)",longer-form format (their videos average over 25 seconds); trending/popular audio; their established niche around #voorjou,"A 26-second partnership video in manoulucia's established style: open on voorjou-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 13.6% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi manoulucia,

I've been following your videos and love what you've been doing in the voorjou space. Your engagement rate has been running around 13.6% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (longer-form format (their videos average over 25 seconds); trending/popular audio; their established niche around #voorjou), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",Beep boop🤖🖨 #tekenen #voorjou #netherlands #dutch
faheemsajjad07,10,3,11.5%,"12,800","Tier 4 (smaller reach, moderate engagement, low-risk trial)","short, fast-cut format (their videos average under 15 seconds); trending/popular audio; their established niche around #jontysquad","A 12-second partnership video in faheemsajjad07's established style: open on jontysquad-adjacent content to match audience expectations, weave in the product/brand naturally within the first 3 seconds (their 11.5% engagement rate suggests hook-dependent viewing), close on a call to action that matches their existing caption tone.","Hi faheemsajjad07,

I've been following your videos and love what you've been doing in the jontysquad space. Your engagement rate has been running around 11.5% across your last 3 posts, which is well above what we typically see, and it's clear your audience trusts what you put out.

We'd love to explore a partnership. Based on your usual format (short, fast-cut format (their videos average under 15 seconds); trending/popular audio; their established niche around #jontysquad), we think there's a natural fit for something that keeps your voice front and center rather than feeling like a typical ad.

Would you be open to a quick call this week to talk through what that could look like?

Best,
[Your name]",Viral kyu nhi ho rha mein?🥀💔...Foryou? #raplikechester #jontysquad #faheemsajjad07 #standwithkashimr #slowmo #transition #viralvideo
